用户ID,服务ID,时间,行为,内容,转推,喜欢,回复,URL
Nick Craver,Twitter,下午1:57 - 2016年5月11日,喜欢,ERSATZ DEVLOPER 的 Twitter: “Breaking: Punyon fixes the year on the post-mortem timeline.”,0,3,3,https://twitter.com/jasonpunyon/status/730501997850333185
Nick Craver,Twitter,下午12:41 - 2016年4月19日,喜欢,"ERSATZ DEVLOPER 的 Twitter: “@kevinmontrose The next Vietnam will be very different, I think.”",0,1,1,https://twitter.com/jasonpunyon/status/722510337908473856
Nick Craver,Twitter,下午3:52 - 2016年5月30日,喜欢,ERSATZ DEVLOPER 的 Twitter: “https://t.co/hbtBvWLTsj”,0,7,1,https://twitter.com/jasonpunyon/status/737416451045220353
Nick Craver,Twitter,上午7:14 - 2016年6月17日,喜欢,"ERSATZ DEVLOPER 的 Twitter: “Gonna be at @icmlconf for Father&#39;s Day (seriously ICML, way to bork the scheduling), so EARLY GIFTS TO ME! https://t.co/6FhwIEzOAW”",0,24,2,https://twitter.com/jasonpunyon/status/743809044394053632
Nick Craver,Twitter,下午7:09 - 2016年5月8日,喜欢,Saved You A Click 的 Twitter: “I&#39;m humbled and truly grateful that you guys went and defended me. Thank you.  https://t.co/vaPWD8Pbxz”,0,394,31,https://twitter.com/savedyouaclick/status/729493523876196352
Nick Craver,Twitter,下午12:50 - 2016年3月4日,喜欢,"Bill the Lizard 的 Twitter: “If I was the guy who has exclusive rights to the blackest color, I&#39;d just use it to paint fake tunnels on the sides of mountains.”",0,5,1,https://twitter.com/lizardbill/status/705857915173744641
Nick Craver,Twitter,下午3:51 - 2016年5月30日,喜欢,ERSATZ DEVLOPER 的 Twitter: “https://t.co/ejPuqbhpnU”,0,2,1,https://twitter.com/jasonpunyon/status/737416267661905920
Nick Craver,Twitter,上午4:14 - 2016年4月18日,喜欢,m0sa 的 Twitter: “@breki74 @Nick_Craver it&#39;s more like Godzilla”,0,2,1,https://twitter.com/m0sa/status/722020455943684097
Nick Craver,Twitter,下午2:40 - 2016年6月15日,喜欢,ERSATZ DEVLOPER 的 Twitter: “We don&#39;t fuck around with the desktop build around here. https://t.co/Go4wAljTxt”,0,2,1,https://twitter.com/jasonpunyon/status/743196461937004544
Nick Craver,Twitter,上午6:32 - 2016年5月8日,喜欢,"ERSATZ DEVLOPER 的 Twitter: “I need pizza, and Bok Choy, and pineapple... https://t.co/39QCgjneAt”",0,9,1,https://twitter.com/jasonpunyon/status/729302886073573376
